Lab ID,Date_Time,Depth,SSC (uL/L),SSC (mg/L),DOC (mg/L),POC (mg/L),PP (mg/L),SRP (mg/L),TP (mg/L)
31,8/2/2022 2:30:50,8.342,64.61,52.16959258,2.898,4.595228518,,,
32,8/2/2022 2:31:00,21.642,275.96,174.6761387,2.716,10.93014432,,,
33,8/2/2022 2:31:10,16.917,159.29,78.17753867,2.701,,,,
34,8/2/2022 2:31:20,14.175,121.26,74.75873318,2.781,8.978996631,,,
35,8/2/2022 2:31:30,12.95,90.81,52.97473513,2.831,,,,
36,8/2/2022 2:31:40,12.6,71.32,40.1836969,2.763,,,,
37,8/2/2022 2:31:50,11.667,77.03,43.39843098,2.814,4.599424687,,,
38,8/2/2022 2:32:00,13.242,143.56,77.33443028,2.747,,,,
39,8/2/2022 2:32:10,12.775,97.7,58.59536189,2.741,,,,
40,8/2/2022 2:32:20,12.133,55.95,23.82908792,2.775,,,,
41,8/2/2022 2:32:30,11.958,41.32,26.2230599,2.733,,,,
42,8/2/2022 2:32:40,11.317,38.15,17.73199358,2.756,3.258424814,,,
43,8/2/2022 2:32:50,11.783,33.28,18.92225422,2.785,,,,
